ID,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Age_b0,Age_b1,Age_b2,Alcohol_b0,Alcohol_b1,Alcohol_b2,Amphet_b0,Amphet_b1,Amphet_b2,Amyl_b0,Amyl_b1,Amyl_b2,Benzos_b0,Benzos_b1,Benzos_b2,Caff_b0,Caff_b1,Caff_b2,Cannabis_b0,Cannabis_b1,Cannabis_b2,Choc_b0,Choc_b1,Choc_b2,Coke_b0,Coke_b1,Coke_b2,Crack_b0,Crack_b1,Crack_b2,Ecstasy_b0,Ecstasy_b1,Ecstasy_b2,Heroin_b0,Heroin_b1,Heroin_b2,Ketamine_b0,Ketamine_b1,Ketamine_b2,LSD_b0,LSD_b1,LSD_b2,Meth_b0,Meth_b1,Meth_b2,Mushrooms_b0,Mushrooms_b1,Mushrooms_b2,Nicotine_b0,Nicotine_b1,Nicotine_b2,VSA_b0,VSA_b1,VSA_b2
1,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
3,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
